Dataset                      Metric                    metric valor    p    k
../datasets_2/cocomo81.arff  R2 Score                  -0.94709        2    3
../datasets_2/cocomo81.arff  MAE                      404.092          1    4
../datasets_2/cocomo81.arff  Median Absolute Error    299.675          1    4
../datasets_2/cocomo81.arff  RMSE                     576.462          1    4
../datasets_2/cocomo81.arff  R2 Score                  -1.55063        1    4
../datasets_2/cocomo81.arff  MAE                      219.494          2    4
../datasets_2/cocomo81.arff  Median Absolute Error    276.5            2    4
../datasets_2/cocomo81.arff  RMSE                     266.118          2    4
../datasets_2/cocomo81.arff  R2 Score                   0.07207        2    4
../datasets_2/cocomo81.arff  MAE                      322.492          1    5
../datasets_2/cocomo81.arff  Median Absolute Error    273.4            1    5
../datasets_2/cocomo81.arff  RMSE                     417.72           1    5
../datasets_2/cocomo81.arff  R2 Score                   0.602261       1    5
../datasets_2/cocomo81.arff  MAE                      991.851          2    5
../datasets_2/cocomo81.arff  Median Absolute Error    213.28           2    5
../datasets_2/cocomo81.arff  RMSE                    1976.21           2    5
../datasets_2/cocomo81.arff  R2 Score                   0.250333       2    5
../datasets_2/cocomo81.arff  MAE                      286.726          1    6
../datasets_2/cocomo81.arff  Median Absolute Error    275.667          1    6
../datasets_2/cocomo81.arff  RMSE                     315.631          1    6
../datasets_2/cocomo81.arff  R2 Score                   0.693144       1    6
../datasets_2/cocomo81.arff  MAE                      464.718          2    6
../datasets_2/cocomo81.arff  Median Absolute Error    144.333          2    6
../datasets_2/cocomo81.arff  RMSE                    1135.08           2    6
../datasets_2/cocomo81.arff  R2 Score                   0.535823       2    6
../datasets_2/cocomo81.arff  MAE                      880.33           1    7
../datasets_2/cocomo81.arff  Median Absolute Error    205.571          1    7
../datasets_2/cocomo81.arff  RMSE                    1938.2            1    7
../datasets_2/cocomo81.arff  R2 Score                  -0.170907       1    7
../datasets_2/cocomo81.arff  MAE                      235.404          2    7
../datasets_2/cocomo81.arff  Median Absolute Error    173.857          2    7
../datasets_2/cocomo81.arff  RMSE                     383.966          2    7
../datasets_2/cocomo81.arff  R2 Score                   0.109968       2    7
../datasets_2/cocomo81.arff  MAE                      692.687          1    8
../datasets_2/cocomo81.arff  Median Absolute Error    248.75           1    8
../datasets_2/cocomo81.arff  RMSE                    1715.34           1    8
../datasets_2/cocomo81.arff  R2 Score                   0.0213593      1    8
../datasets_2/cocomo81.arff  MAE                     1070.16           2    8
../datasets_2/cocomo81.arff  Median Absolute Error    216.5            2    8
../datasets_2/cocomo81.arff  RMSE                    2788.89           2    8
../datasets_2/cocomo81.arff  R2 Score                   0.142799       2    8
../datasets_2/cocomo81.arff  MAE                      642.516          1    9
../datasets_2/cocomo81.arff  Median Absolute Error    262.111          1    9
../datasets_2/cocomo81.arff  RMSE                    1380.02           1    9
../datasets_2/cocomo81.arff  R2 Score                   0.308319       1    9
../datasets_2/cocomo81.arff  MAE                      585.156          2    9
../datasets_2/cocomo81.arff  Median Absolute Error    210.333          2    9
../datasets_2/cocomo81.arff  RMSE                    1340.88           2    9
../datasets_2/cocomo81.arff  R2 Score                   0.35892        2    9
../datasets_2/china.arff     MAE                     1100.63           1    3
../datasets_2/china.arff     Median Absolute Error    422.167          1    3
../datasets_2/china.arff     RMSE                    2124.96           1    3
../datasets_2/china.arff     R2 Score                   0.655552       1    3
../datasets_2/china.arff     MAE                     1649.1            2    3
../datasets_2/china.arff     Median Absolute Error    876.333          2    3
../datasets_2/china.arff     RMSE                    3182.76           2    3
../datasets_2/china.arff     R2 Score                   0.803739       2    3
../datasets_2/china.arff     MAE                     1508.72           1    4
../datasets_2/china.arff     Median Absolute Error    550              1    4
../datasets_2/china.arff     RMSE                    2904.81           1    4
../datasets_2/china.arff     R2 Score                   0.724007       1    4
../datasets_2/china.arff     MAE                     1216.27           2    4
../datasets_2/china.arff     Median Absolute Error    779.75           2    4
../datasets_2/china.arff     RMSE                    1781.87           2    4
../datasets_2/china.arff     R2 Score                   0.861489       2    4
../datasets_2/china.arff     MAE                     1153.35           1    5
../datasets_2/china.arff     Median Absolute Error    677.4            1    5
../datasets_2/china.arff     RMSE                    1848.1            1    5
../datasets_2/china.arff     R2 Score                   0.861635       1    5
../datasets_2/china.arff     MAE                     1782.93           2    5
../datasets_2/china.arff     Median Absolute Error    807.2            2    5
../datasets_2/china.arff     RMSE                    3144.83           2    5
