Dataset                      Metric                   metric valor    p    k
../datasets_2/china.arff     RMSE                     731.299         1    4
../datasets_2/china.arff     R2 Score                   0.983033      1    4
../datasets_2/china.arff     MAE                      368.478         2    4
../datasets_2/china.arff     Median Absolute Error    147             2    4
../datasets_2/china.arff     RMSE                     726.342         2    4
../datasets_2/china.arff     R2 Score                   0.983262      2    4
../datasets_2/china.arff     MAE                      395.656         1    5
../datasets_2/china.arff     Median Absolute Error    143.7           1    5
../datasets_2/china.arff     RMSE                     863.401         1    5
../datasets_2/china.arff     R2 Score                   0.976349      1    5
../datasets_2/china.arff     MAE                      362.158         2    5
../datasets_2/china.arff     Median Absolute Error    150             2    5
../datasets_2/china.arff     RMSE                     774.656         2    5
../datasets_2/china.arff     R2 Score                   0.980961      2    5
../datasets_2/china.arff     MAE                      394.583         1    6
../datasets_2/china.arff     Median Absolute Error    148.75          1    6
../datasets_2/china.arff     RMSE                     911.562         1    6
../datasets_2/china.arff     R2 Score                   0.973637      1    6
../datasets_2/china.arff     MAE                      399.17          2    6
../datasets_2/china.arff     Median Absolute Error    138.667         2    6
../datasets_2/china.arff     RMSE                     908.497         2    6
../datasets_2/china.arff     R2 Score                   0.973814      2    6
../datasets_2/china.arff     MAE                      390.916         1    7
../datasets_2/china.arff     Median Absolute Error    124.857         1    7
../datasets_2/china.arff     RMSE                     900.384         1    7
../datasets_2/china.arff     R2 Score                   0.97428       1    7
../datasets_2/china.arff     MAE                      401.231         2    7
../datasets_2/china.arff     Median Absolute Error    112.143         2    7
../datasets_2/china.arff     RMSE                     945.976         2    7
../datasets_2/china.arff     R2 Score                   0.971609      2    7
../datasets_2/china.arff     MAE                      387.837         1    8
../datasets_2/china.arff     Median Absolute Error    144.625         1    8
../datasets_2/china.arff     RMSE                     933.773         1    8
../datasets_2/china.arff     R2 Score                   0.972337      1    8
../datasets_2/china.arff     MAE                      372.185         2    8
../datasets_2/china.arff     Median Absolute Error    143.75          2    8
../datasets_2/china.arff     RMSE                     829.36          2    8
../datasets_2/china.arff     R2 Score                   0.978177      2    8
../datasets_2/china.arff     MAE                      389.306         1    9
../datasets_2/china.arff     Median Absolute Error    141.389         1    9
../datasets_2/china.arff     RMSE                     914.763         1    9
../datasets_2/china.arff     R2 Score                   0.973452      1    9
../datasets_2/china.arff     MAE                      384.682         2    9
../datasets_2/china.arff     Median Absolute Error    143.278         2    9
../datasets_2/china.arff     RMSE                     882.8           2    9
../datasets_2/china.arff     R2 Score                   0.975275      2    9
../datasets_2/albrecht.arff  MAE                        6.43333       1    3
../datasets_2/albrecht.arff  Median Absolute Error      3.56667       1    3
../datasets_2/albrecht.arff  RMSE                       8.72303       1    3
../datasets_2/albrecht.arff  R2 Score                   0.121972      1    3
../datasets_2/albrecht.arff  MAE                        5.94          2    3
../datasets_2/albrecht.arff  Median Absolute Error      3.4           2    3
../datasets_2/albrecht.arff  RMSE                       8.64344       2    3
../datasets_2/albrecht.arff  R2 Score                   0.137921      2    3
../datasets_2/albrecht.arff  MAE                        6.325         1    4
../datasets_2/albrecht.arff  Median Absolute Error      3.175         1    4
../datasets_2/albrecht.arff  RMSE                       8.73638       1    4
../datasets_2/albrecht.arff  R2 Score                   0.119283      1    4
../datasets_2/albrecht.arff  MAE                        6.495         2    4
../datasets_2/albrecht.arff  Median Absolute Error      4.025         2    4
../datasets_2/albrecht.arff  RMSE                       8.80616       2    4
../datasets_2/albrecht.arff  R2 Score                   0.105159      2    4
